---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 17:06:42 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:24:30 (uptime: 0d, 00h 13m 29s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 32802
capture.afpacket.poll_timeout                                | Total                     | 32169
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 81
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:24:38 (uptime: 0d, 00h 13m 37s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 33161
capture.afpacket.poll_timeout                                | Total                     | 32528
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 81
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:24:46 (uptime: 0d, 00h 13m 45s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 33401
capture.afpacket.poll_timeout                                | Total                     | 32768
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 82
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:24:54 (uptime: 0d, 00h 13m 53s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 33759
capture.afpacket.poll_timeout                                | Total                     | 33126
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 83
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:25:02 (uptime: 0d, 00h 14m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 34119
capture.afpacket.poll_timeout                                | Total                     | 33486
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 84
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:25:10 (uptime: 0d, 00h 14m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 34359
capture.afpacket.poll_timeout                                | Total                     | 33726
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 84
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:25:18 (uptime: 0d, 00h 14m 17s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 34718
capture.afpacket.poll_timeout                                | Total                     | 34085
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 85
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:25:26 (uptime: 0d, 00h 14m 25s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 35078
capture.afpacket.poll_timeout                                | Total                     | 34445
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
decoder.ipv4                                                 | Total                     | 1196
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 1220
decoder.arp                                                  | Total                     | 16
decoder.tcp                                                  | Total                     | 1196
tcp.syn                                                      | Total                     | 312
tcp.synack                                                   | Total                     | 120
tcp.rst                                                      | Total                     | 312
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 314
flow.tcp                                                     | Total                     | 312
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 120
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 120
flow.wrk.flows_injected                                      | Total                     | 120
tcp.sessions                                                 | Total                     | 312
tcp.ssn_from_cache                                           | Total                     | 73
tcp.ssn_from_pool                                            | Total                     | 239
tcp.segment_from_cache                                       | Total                     | 40
tcp.segment_from_pool                                        | Total                     | 80
detect.alert                                                 | Total                     | 27
detect.alerts_suppressed                                     | Total                     | 309
app_layer.tx.http                                            | Total                     | 72
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 312
flow.end.tcp_state.closed                                    | Total                     | 312
flow.mgr.full_hash_pass                                      | Total                     | 86
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9794
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 661
flow.mgr.flows_notimeout                                     | Total                     | 347
flow.mgr.flows_timeout                                       | Total                     | 314
flow.mgr.flows_evicted                                       | Total                     | 314
flow.mgr.flows_evicted_needs_work                            | Total                     | 120
memcap_pressure                                              | Total                     | 5
memcap_pressure_max                                          | Total                     | 5
flow.recycler.recycled                                       | Total                     | 194
flow.recycler.queue_max                                      | Total                     | 15
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 18:25:34 (uptime: 0d, 00h 14m 33s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1220
capture.afpacket.polls                                       | Total                     | 35315
capture.afpacket.poll_timeout                                | Total                     | 34682
capture.afpacket.poll_data                                   | Total                     | 633
decoder.pkts                                                 | Total                     | 1220
decoder.bytes                                                | Total                     | 86000
